nombre
Izquierda Anticapitalista de los Trabajadores
Ciudadanos
Comunes
Partido Republicano de Chile
Revolución Democrática
Partido Liberal de Chile
Partido Nacional Ciudadano
Nueva Clase Media
Nuevo Tiempo
Convergencia Social
Partido Unión Patriótica
Partido Radical de Chile
Partido Por la Democracia
Partido Regionalista Independiente Demócrata
Federación Regionalista Verde Social
Evolución Política
Partido Progresista de Chile
Partido Demócrata Cristiano
Partido Ecologista Verde
Partido Socialista de Chile
Partido Igualdad
Partido Comunista de Chile
Unión Demócrata Independiente
Partido Humanista
Partido Renovación Nacional
Partido por la Dignidad
Partido Conservador Cristiano
Partido Movimiento Independientes del Norte
Partido Con Todos
Partido Fuerza Común
Partido Convergencia Nacional de Chile 
Partido Alternativa Feminista
Partido de Trabajadores y la Ecología
Chile Vamos
Frente Amplio
Nueva Mayoria
Coalicion por el Cambio
Concertacion de partidos por la democracia
