region,provincia,comuna,candidato,pacto,partido,subpacto,nivel
TARAPACA,DEL TAMARUGAL,CAMIÑA,CAROLINA GOIC BOROEVIC,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,JOSE ANTONIO KAST RIST,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,SEBASTIAN PIÑERA ECHENIQUE,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,ALEJANDRO  GUILLIER ALVAREZ,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,BEATRIZ SANCHEZ MUÑOZ,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,MARCO  ENRIQUEZ-OMINAMI GUMUCIO,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,EDUARDO ARTES BRICHETTI,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,ALEJANDRO NAVARRO BRAIN,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Nulos,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Blancos,NA,NA,NA,Presidencial
TARAPACA,DEL TAMARUGAL,CAMIÑA,CARLOS EDUARDO SANTELICES LAGOS,POR TODO CHILE,INDEPENDIENTE PAIS,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MYLA ETELVINA CHAVEZ FAJARDO,POR TODO CHILE,INDEPENDIENTE PAIS,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,SEBASTIAN  VERGARA ALFARO,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MIGUEL ALFREDO ROCHA SARMIENTO,FRENTE AMPLIO,PODER,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RODRIGO OLIVA VICENTELO,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,ROXANA  VIGUERAS CHERRES,FRENTE AMPLIO,LIBERAL DE CHILE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RAFAEL  MONTES  GONZALEZ,SUMEMOS,AMPLITUD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,HECTOR  TICUNA VILCA,SUMEMOS,AMPLITUD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,CAROLINA  VASQUEZ ESPINOZA,SUMEMOS,INDEPENDIENTE AMPLITUD,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MANUEL  SANCHEZ LOYOLA,SUMEMOS,INDEPENDIENTE TODOS,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,HUGO  GUTIERREZ GALVEZ,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,PATRICIO  MARTINEZ FUENTES,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,DANISA ASTUDILLO PEIRETTI,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,JUAN MARROQUIN GUZMAN,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,MARIELA BASUALTO AVALOS,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,ANA MARIA LUKSIC ROMERO,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,PABLO ORNALDO VALENZUELA HUANCA,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RENZO TRISOTTI MARTINEZ,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,GABRIELA MONSALVEZ ROJAS,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,NATAN OLIVOS NUÑEZ,CHILE VAMOS,EVOLUCION POLITICA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,RAMON GALLEGUILLOS CASTILLO,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,FREDDY MARCOS ARANEDA BARAHONA,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Nulos,NA,NA,NA,parlamentario
TARAPACA,DEL TAMARUGAL,CAMIÑA,Votos Blancos,NA,NA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,JANETT SHIRLEY GUERRA ABURTO,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CLAUDIO ANDRES SANCHEZ BUSTOS,POR TODO CHILE,PROGRESISTA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,GALIA AGUILERA  CABALLERO,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,DANIEL  VARGAS DOWNING,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,NANCY  LANZARINI WALKER,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,NESTOR  VERA ROJAS,PARTIDO DE TRABAJADORES REVOLUCIONARIOS,DE TRABAJADORES REVOLUCIONARIOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,FERNANDO  SAN ROMAN BASCUÑAN,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,SANDRA  CARMONA PIZARRO,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CATALINA  PEREZ SALINAS,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,PABLO ALEJANDRO HERRERA MONARDES,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,FREDDY CRISTIAN ANTILEF LEIVA,FRENTE AMPLIO,PODER,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,EDGAR  MUÑOZ RETAMALES,FRENTE AMPLIO,LIBERAL DE CHILE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CONSTANTINO  ZAFIROPULOS BOSSY,SUMEMOS,AMPLITUD,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,HARRY  ROBLEDO CORTES,SUMEMOS,AMPLITUD,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,PAOLA ANDREA HIGUERAS LABRA,SUMEMOS,AMPLITUD,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,SACHA IVAN RAZMILIC BURGOS,SUMEMOS,CIUDADANOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,RODRIGO JAVIER BORNE CARNARTON,SUMEMOS,CIUDADANOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,SERGIO JAVIER PIZARRO GOMEZ,SUMEMOS,INDEPENDIENTE CIUDADANOS,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ANTONINO PARISI FERNANDEZ,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESTEBAN  ZLATAR FRANULIC,COALICIÓN REGIONALISTA VERDE,DEMOCRACIA REGIONAL PATAGONICA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,DANIEL ERNESTO ADARO SILVA,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CAROLINA ELIZABETH MOBAREC VALENCIA,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ESTEBAN JORGE VELASQUEZ NUÑEZ,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,DIELA MARIA ALVAREZ ORTEGA,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,MARCELA XIMENA HERNANDO PEREZ,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,MARCOS ANDRES ESPINOSA MONARDES,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,SOL ROMERO DEL VILLAR,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,LUIS CAPRIOGLIO RABELLO,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,ALEJANDRA POZO CORTEZ,LA FUERZA DE LA MAYORIA,INDEPENDIENTE COMUNISTA DE CHILE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,JAIME ARAYA GUERRERO,LA FUERZA DE LA MAYORIA,INDEPENDIENTE POR LA DEMOCRACIA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,VALENTIN HUMBERTO VOLTA VALENCIA,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,SONYA IVONNE LANGENBACH RUIZ,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,MIRIAM CAROLINA GONZALEZ BERNAL,CONVERGENCIA DEMOCRATICA,INDEPENDIENTE IZQUIERDA CIUDADANA DE CHILE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CARLOS ENRIQUE LOPEZ VEGA,CHILE VAMOS,REGIONALISTA INDEPENDIENTE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,IGNACIO LEON CUEVAS,CHILE VAMOS,INDEPENDIENTE EVOLUCION POLITICA,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,PAULINA NUÑEZ URRUTIA,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,JOSE MIGUEL CASTRO BASCUÑAN,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,PABLO TOLOZA FERNANDEZ,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,CLAUDIA MENESES OLIVA,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JOSE CAMPOS VELIZ,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,ULISES CARABANTES AHUMADA,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,FABIOLA ESCARLEN EWERT DAZA,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,HECTOR ALEJANDRO ZAMORA GARCIA,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,INTI ELEODORO SALAMANCA FERNANDEZ,FRENTE AMPLIO,PODER,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JUAN MANUEL ANTONIO DIAZ MICHEA,FRENTE AMPLIO,PODER,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,LUIS ALBERTO ACUÑA CASTILLO,FRENTE AMPLIO,INDEPENDIENTE PODER,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,PATRICIA ERIKA ALVAREZ OLAVE,FRENTE AMPLIO,INDEPENDIENTE PODER,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,MARIO  VARAS PIZARRO,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,SANDRA  PEÑA MARAMBIO,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JAIME MULET MARTINEZ,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,YHANSS DELGADO QUEVEDO,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,CLARA MENESES COLOMA,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,SANDRA GUERRA TURCATI,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JOHN MARTINEZ GALLARDO,COALICIÓN REGIONALISTA VERDE,FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,PEDRO  CID CID,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,MARIO  RIVAS SILVA,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,DANIELLA  CICARDINI MILLA,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JUAN RUBEN SANTANA CASTILLO,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JUAN CARLOS MELENDEZ MACKENZIE,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JORGE  HIDALGO HIDALGO,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,PILAR SOTO RIVAS,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,VITALIA MARICEL MUÑOZ CASTILLO,CONVERGENCIA DEMOCRATICA,IZQUIERDA CIUDADANA DE CHILE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,RAUL PALACIOS AUSPONT,CONVERGENCIA DEMOCRATICA,MAS REGION,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JOSE IGNACIO DIAZ MALDONADO,CONVERGENCIA DEMOCRATICA,MAS REGION,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,FABIOLA CRISTINA ASMAD REYES,CONVERGENCIA DEMOCRATICA,MAS REGION,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,SEBASTIAN MANUEL CAMPOS CAMPILLAY,CONVERGENCIA DEMOCRATICA,MAS REGION,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,SOFIA CID VERSALOVIC,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,RENE AEDO ORMEÑO,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,NELLY GALEB BOU,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,NICOLAS NOMAN GARRIDO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,CARLOS VILCHES GUZMAN,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
ATACAMA,CHAÑARAL,CHAÑARAL,JUAN ANTONIO PEREZ MARIN,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,JULIO MOISES ZAPATA RODRIGUEZ,POR TODO CHILE,PROGRESISTA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,NELSON RODRIGO GALVEZ PEREZ,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,PATRICIA AGUIRRE GONZALEZ,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,MAGALLANES ESPINOSA BERTRAN,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,MARISOL CESPEDES AGUIRRE,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,DANIELLA  CORTES BAUER,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,JAIME ENRIQUE FERNANDEZ MADRID,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,AGUSTIN  GONZALEZ MORENO,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,TIRSO ANTONIO GONZALEZ ALQUINTA,FRENTE AMPLIO,ECOLOGISTA VERDE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,YERKO AVALOS VILLARROEL,SUMEMOS,AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ALEJANDRO TELLO ARATA,SUMEMOS,AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,NIDIA MILLA IRARRAZABAL,SUMEMOS,AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CAROLINA TORRES GONZALEZ,SUMEMOS,INDEPENDIENTE AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,PEDRO ARAYA AVILA,SUMEMOS,AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,GABRIEL CABALLERO BERRIOS,SUMEMOS,INDEPENDIENTE AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,PEDRO ANTONIO CASTILLO CASTILLO,SUMEMOS,AMPLITUD,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,PEDRO ANTONIO VELASQUEZ SEGUEL,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ANGELA ERCILIA ROJAS BARRIOS,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,JORGE ADRIAN MONSALVE VARGAS,COALICIÓN REGIONALISTA VERDE,INDEPENDIENTE FEDERACION REGIONALISTA VERDE SOCIAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ERNESTO VELASCO RODRIGUEZ,LA FUERZA DE LA MAYORIA,RADICAL SOCIALDEMOCRATA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CESAR ANTONIO VALENCIA CORTES,LA FUERZA DE LA MAYORIA,INDEPENDIENTE RADICAL SOCIALDEMOCRATA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,DANIEL  NUÑEZ ARANCIBIA,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ELISA CORTES ARAYA,LA FUERZA DE LA MAYORIA,COMUNISTA DE CHILE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,RAUL  SALDIVAR AUGER,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,LUIS  LEMUS ARACENA,LA FUERZA DE LA MAYORIA,SOCIALISTA DE CHILE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,MIGUEL ANGEL ALVARADO RAMIREZ,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ALEJANDRA MARGARITA DIAZ MALUENDA,LA FUERZA DE LA MAYORIA,POR LA DEMOCRACIA,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,MATIAS  WALKER PRIETO,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,PEDRO  PRADO MORENO,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CECILIA  TIRADO SOTO,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CRISTIAN  GALLEGUILLOS VEGA,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ADRIANA  VERGARA MANQUE,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,DENIS  CORTES AGUILERA,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CAROLINA INES HENRIQUEZ GUTIERREZ,CONVERGENCIA DEMOCRATICA,DEMOCRATA CRISTIANO,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,SERGIO GAHONA SALAZAR,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,IVON GUERRA AGUILERA,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,JUAN MANUEL FUENZALIDA COBO,CHILE VAMOS,UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ERNESTINA SARMIENTO RIVERA,CHILE VAMOS,INDEPENDIENTE UNION DEMOCRATA INDEPENDIENTE,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,CARLOS CRUZ-COKE CARVALLO,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ROBERTO VEGA CAMPUSANO,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,FRANCISCO EGUIGUREN CORREA,CHILE VAMOS,RENOVACION NACIONAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,FRANCESCA FIGARI SCHENCK,CHILE VAMOS,INDEPENDIENTE RENOVACION NACIONAL,NA,parlamentario
COQUIMBO,CHOAPA,CANELA,ANDREA GUZMAN HERRERA,CANDIDATURA INDEPENDIENTE,CANDIDATURA INDEPENDIENTE,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,IVAN ROBERTO ROJAS OVANDO,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,MYRNA SEPULVEDA ZAMUDIO,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,VICTOR MANUEL VILLALOBOS SOTO,POR TODO CHILE,PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,NICOLA HADWA SHAHWAN,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,NICOLL ADRIANA ROJAS LABRA,POR TODO CHILE,INDEPENDIENTE PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,MARCOS ANTONIO MONTECINOS YAÑEZ,POR TODO CHILE,PROGRESISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,JORGE  RAULD GONZALEZ,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,MILKO  CARACCIOLO SOTO,FRENTE AMPLIO,IGUALDAD,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,CAMILA  ROJAS VALDERRAMA,FRENTE AMPLIO,INDEPENDIENTE IGUALDAD,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,JORGE  BRITO HASBUN,FRENTE AMPLIO,REVOLUCION DEMOCRATICA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,MABEL LUCILA ZUÑIGA VALENCIA,FRENTE AMPLIO,INDEPENDIENTE REVOLUCION DEMOCRATICA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,JOHN  PARADA MONTERO,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,JUAN PABLO PAONESSA BARRIA,FRENTE AMPLIO,HUMANISTA,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,JORGE RUBEN CANALES GATICA,FRENTE AMPLIO,PODER,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,DANN ALEJANDRO ESPINOZA POZO,FRENTE AMPLIO,INDEPENDIENTE PODER,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,ALVARO  SANHUEZA MARIPANGUE,SUMEMOS,AMPLITUD,NA,parlamentario
VALPARAISO,ISLA DE PASCUA,ISLA DE PASCUA,LEONARDO  CONTRERAS NEIRA,SUMEMOS,AMPLITUD,NA,parlamentario
